name,latitude,longitude,country,region,elevation_m,population,feature_type,geoname_id
Faßberg Air Base,52.91667,10.18333,Germany,Lower Saxony,,0,airport,3208635
Strausberg Airport,52.58016,13.91719,Germany,Brandenburg,,0,airport,3208765
Holzdorf Air Base,51.76667,13.16667,Germany,Brandenburg,,0,airport,3208984
Laupheim Air Base,48.21667,9.91667,Germany,Baden-Wurttemberg,,0,airport,3206311
"Magdeburg, Sachsen-Anhalt",52.07366,11.62647,Germany,Saxony-Anhalt,81,0,airport,6296507
Oberpfaffenhofen,48.08136,11.28307,Germany,Bavaria,593,0,airport,6296521
Donaueschingen / Villingen,47.97333,8.52222,Germany,Baden-Wurttemberg,680,0,airport,6296528
Bückeburg Air Base,52.2785,9.08217,Germany,Lower Saxony,70,0,airport,6296835
Mendig Air Base,50.366,7.31533,Germany,Rheinland-Pfalz,181,0,airport,6296841
Buechel,50.17383,7.06333,Germany,Rheinland-Pfalz,477,0,airport,6296866
Bad Langensalza Airport,51.12911,10.62159,Germany,Thuringia,,0,airport,8533072
Erding Airport,48.31667,11.93333,Germany,Bavaria,,0,airport,3208387
Dessau,51.83167,12.19354,Germany,Saxony-Anhalt,,0,airport,3209058
Wittmundhaven,53.54783,7.66733,Germany,Lower Saxony,7,0,airport,6296861
Pforzheim,48.9,8.7,Germany,Baden-Wurttemberg,,0,airport,8299240
Neuburg,48.7,11.21667,Germany,Bavaria,,0,airport,3208401
Jever,53.53333,7.88333,Germany,Lower Saxony,,0,airport,3208524
Hohn,54.31217,9.53817,Germany,Schleswig-Holstein,12,0,airport,3208577
Niederstetten,49.39139,9.95889,Germany,Baden-Wurttemberg,,0,airport,3274960
Diepholz,52.58333,8.33333,Germany,Lower Saxony,,0,airport,3206633
Wunstorf,52.45,9.43333,Germany,Lower Saxony,,0,airport,3206645
Grafenwoehr,49.69869,11.94017,Germany,Bavaria,415,0,airport,6296845
Hohenfels,49.21676,11.83648,Germany,Bavaria,443,0,airport,6296848
Coleman Mannheim,49.56667,8.46667,Germany,Baden-Wurttemberg,96,0,airport,6301536
Verkehrslandeplatz Eisenhüttenstadt,52.1934,14.59311,Germany,Brandenburg,,0,airport,6951708
Flugplatz Würzburg Schenkenturm,49.81835,9.89933,Germany,Bavaria,,0,airport,11142839
Segelfluggelände Übersberg,48.45802,9.28971,Germany,Baden-Wurttemberg,,0,airport,11048872
Airfield Leer Papenburg,53.27183,7.44367,Germany,Lower Saxony,,0,airport,11153073
Sonderlandeplatz Altomünster,48.3823,11.2735,Germany,Bavaria,,0,airport,6543883
