FID,Gewässername,Gewässertyp,AREA_CALC,RESTRICTED,Internationale Gewässerkennung,APSFR_CD,Kennung der Flussgebietseinheit,Ländercode,Erstellungsdatum des Datensatzes,Ist der Wasserkörper erheblich verändert?,Wassernutzung,Physikalische Veränderung,Ist der Wasserkörper künstlich?,Ökologischer Zustand,Ökologisches Potential,Chemischer Zustand,Zuverlässlichkeit des Ergebnis des chemischen Zustands,Zuverlässlichkeit des Ergebnis des ökologischen Zustands,Risikoabschätzung des ökologischen Zustands,Risikoabschätzung des ökologischen Potentials,Risikoabschätzung des chemischen Zustands,Gültigkeitsdatum der Risikoabschätzung,Risiko in Summe,Involvierte Länder,IMPORTDATE,Federführendes Land,AREA_MAX,CAND_JOIN,Letzte berichtete Wasserkörperkennung,Beschreibung des Typen nach WRRL,Auswirkungen der Wasserkörperbelastung,DESIGBEGIN,EVOLUTIONT,Lage zu nationalen Grenzen,INT_CAL_TP,Treiber der Veränderung,Maßstabskategorie,Code für Planungseinheit,Bearbeitungsgebiet,Schablonenname,Metadatendatei,Metadaten URL,SHAPE_Leng,Shape__Area,Shape__Length
69,Peenestrom,Costal water,85.727,1,DECW_DEMV_WP_16,DEMV_RG_968_CW;DEMV_RG_9,9650,DEMV,12/17/2019 12:00:00 AM,N, , ,N,4, ,3,3,3,3, ,3,,3, ,10/7/2021 12:00:00 AM,DEMV,85.727,1,DE_CW_DEMV_WP_16,B1,"NUTR,CHEM",12/22/2015 12:00:00 AM,noChange,N,Not applicable,"2.2,2.7",L,WP_KGO,9650,Cwbodygeom,CWBODYGEOM_DEMV.xml,http://www.wasserblick.net/servlet/is/20090/?title=CWBODYGEOM_DEMVnull=104192,2.30576714483,247473346.875,322067.295867537
70,Kieler Außenförde,Costal water,16.519,1,DECW_DESH_B4-9610-09-10, ,9610,DESH,12/19/2019 12:00:00 AM,N, , ,N,5, ,3,3,3,3, ,3,8/23/2019 12:00:00 AM,3,DESH,2/4/2020 12:00:00 AM,DESH,16.519,1,DE_CW_B4.9610.09.10,B4,"CHEM,NUTR",12/22/2019 12:00:00 AM,changeCode,N,Not applicable,"2.2,2.7,8,9",H,STR_SWE,9610,Cwbodygeom,CWBODYGEOM_DESH.xml,http://www.wasserblick.net/servlet/is/20090/?title=CWBODYGEOM_DESHnull=104192,0.336357548367,48736168.0498047,46709.2316883785
71,Piep Tidebecken,Costal water,330.758,1,DECW_DESH_N3-9500-03-01, ,9500,DESH,12/19/2019 12:00:00 AM,N, , ,N,3, ,3,3,3,3, ,3,8/23/2019 12:00:00 AM,3,DESH,2/4/2020 12:00:00 AM,DESH,330.758,1,DE_CW_N3.9500.03.01,N3,"CHEM,NUTR",12/22/2019 12:00:00 AM,changeCode,N,CW-NEA3/4,"2.2,2.7,8",H,EID_MIE,9500,Cwbodygeom,CWBODYGEOM_DESH.xml,http://www.wasserblick.net/servlet/is/20090/?title=CWBODYGEOM_DESHnull=104192,0.944199229065,962012711.648438,130290.076427193
72,Küstenmeer Schlei/Trave,Territorial water,2071.898,1, , ,9610,DESH,2/19/2020 12:00:00 AM, , , , , , ,3,3, , , ,3,8/23/2019 12:00:00 AM,3,DESH,2/19/2020 12:00:00 AM,DESH,0,0,DE_CW_B0.9610, ,NOTA,12/22/2019 12:00:00 AM,changeCode, , ,11,H,STR_KOG,9610,TEWBODYGEOM,TEWBODYGEOM_DESH.xml,http://www.wasserblick.net/servlet/is/20090/?title=TEWBODYGEOM_DESHnull=104192,5.38141499183,6104512620.81055,712854.943578014
73,Küstenmeer Elbe,Territorial water,1998.644,1, , ,5000,DESH,2/19/2020 12:00:00 AM, , , , , , ,3,3, , , ,3,8/23/2019 12:00:00 AM,3,DESH,2/19/2020 12:00:00 AM,DESH,0,0,DE_CW_N0.5000, ,NOTA,12/22/2019 12:00:00 AM,changeCode, , ,11,H,TEL_TES,5900,TEWBODYGEOM,TEWBODYGEOM_DESH.xml,http://www.wasserblick.net/servlet/is/20090/?title=TEWBODYGEOM_DESHnull=104192,2.38394731145,5821457864.1123,322410.736524438
74,Küstenmeer Eider,Territorial water,2136.536,1, , ,9500,DESH,2/19/2020 12:00:00 AM, , , , , , ,3,3, , , ,3,8/23/2019 12:00:00 AM,3,DESH,2/19/2020 12:00:00 AM,DESH,0,0,DE_CW_N0.9500, ,NOTA,12/22/2019 12:00:00 AM,changeCode, , ,11,H,EID_EIT,9500,TEWBODYGEOM,TEWBODYGEOM_DESH.xml,http://www.wasserblick.net/servlet/is/20090/?title=TEWBODYGEOM_DESHnull=104192,2.67660415552,6362624484.28027,444763.553827373
75,Küstenmeer Ems,Territorial water,1825.75,1, , ,3000,DENI,7/23/2014 12:00:00 AM, , , , , , ,3,3, , , ,3,,3, ,4/21/2020 12:00:00 AM,DENI,0,0,DE_CW_N0.3900, ,NOTA,12/22/2021 12:00:00 AM,creation, , ,11,L,EMN_UEM_00,3900,TEWBODYGEOM,TEWBODYGEOM_DENI.xml,http://www.wasserblick.net/servlet/is/20090/?title=TEWBODYGEOM_DENInull=104192,3.05742917093,5227987146.68848,372358.258751735
76,Küstenmeer Weser,Territorial water,291.306,1, , ,4000,DENI,12/20/2019 12:00:00 AM, , , , , , ,3,3, , , ,3,,3, ,4/21/2020 12:00:00 AM,DENI,0,0,DE_CW_N0.4000, ,NOTA,12/22/2021 12:00:00 AM,creation, , ,11,L,TWE_PE01,4900,TEWBODYGEOM,TEWBODYGEOM_DENI.xml,http://www.wasserblick.net/servlet/is/20090/?title=TEWBODYGEOM_DENInull=104192,1.15973461521,838360662.73877,143131.203095156
77,Küstenmeer Ems-Ästuar,Territorial water,153.569,1, , ,3000,DENI,12/20/2019 12:00:00 AM, , , , , , ,3,3, , , ,3,,3,NLXX,4/21/2020 12:00:00 AM,DENI,0,0,DE_CW_N0.3990, ,NOTA,12/22/2021 12:00:00 AM,creation, , ,11,L,EMN_EMA_00,3990,TEWBODYGEOM,TEWBODYGEOM_DENI.xml,http://www.wasserblick.net/servlet/is/20090/?title=TEWBODYGEOM_DENInull=104192,0.737384863568,436979376.117676,109922.951563564
78,1- bis 12-Seemeilen-Zone,Territorial water,4769.942,1, , ,9650,DEMV,2/3/2020 12:00:00 AM, , , , , , ,3,3, , , ,3,5/7/2020 12:00:00 AM,3, ,8/4/2020 12:00:00 AM,DEMV,0,0,DECW_DEMV_WP_20, ,NOTA,12/22/2015 12:00:00 AM,creation, , ,11,L,WP_OSEE,9650,TEWBODYGEOM,TEWBODYGEOM_DEMV.xml,http://www.wasserblick.net/servlet/is/20090/?title=TEWBODYGEOM_DEMVnull=104192,8.10027922774,14092307364.7075,1077663.39789991
79,Übergangsgewässer Ems (Leer bis Dollart),Transitional water,11.518,1, , ,3000,DENI,12/23/2019 12:00:00 AM,Y,"6,9","3,4",N, ,4,3,3,3, ,3,3,,3, ,2/22/2021 12:00:00 AM,DENI,11.518,1,DE_TW_T1.3000.01, ,"CHEM,HHYC,HMOC,NUTR",12/22/2021 12:00:00 AM,noChange,N,TW-NEA11,"2.2,2.7,4.1.1,4.5",L,EMN_UEM,3900,Twbodygeom,TWBODYGEOM_DENI.xml,http://www.wasserblick.net/servlet/is/20090/?title=TWBODYGEOM_DENInull=104192,0.76658650945,32175898.5185547,105476.204196318
80,Übergangsgewässer Ems-Ästuar,Transitional water,197.113,1, , ,3000,DENI,12/23/2019 12:00:00 AM,Y,"6,9","3,4",N, ,4,3,3,3, ,3,3,,3,NLXX,2/22/2021 12:00:00 AM,DENI,197.113,1,DE_TW_T1.3990.01, ,"CHEM,HHYC,HMOC,NUTR",12/22/2021 12:00:00 AM,noChange,Y,TW-NEA11,"2.2,2.7,4.1.1,4.5",L,EMN_EMA,3990,Twbodygeom,TWBODYGEOM_DENI.xml,http://www.wasserblick.net/servlet/is/20090/?title=TWBODYGEOM_DENInull=104192,1.36832521695,552842456.790527,186017.820330412
81,Übergangsgewässer der Weser,Transitional water,209.519,1, , ,4000,DENI,12/23/2019 12:00:00 AM,Y,"6,9","3,4",N, ,4,3,3,3, ,3,3,,3,DEHB,2/22/2021 12:00:00 AM,DENI,209.519,1,DE_TW_T1.4000.01, ,"CHEM,HHYC,HMOC,NUTR",12/22/2021 12:00:00 AM,noChange,N,TW-NEA11,"2.10,2.2,2.7,4.1.1,4.1.3,4.5",L,TWE_PE02,4900,Twbodygeom,TWBODYGEOM_DENI.xml,http://www.wasserblick.net/servlet/is/20090/?title=TWBODYGEOM_DENInull=104192,2.35323400231,593984594.398438,353228.302731922
82,Tideelbe,Transitional water,397.521,1, ,DESH_RG_95_TEL_TES,5000,DESH,12/19/2019 12:00:00 AM,Y,"6,9","3,4",N, ,3,3,3,2, ,3,3,,3,"DESH,DENI",2/22/2021 12:00:00 AM,DESH,272.752,1,DE_TW_DESH_T1.5000.01, ,"NUTR,CHEM,HMOC,HHYC",12/22/2019 12:00:00 AM,noChange,N,TW-NEA11,"2.2,2.4,2.7,4.1.1,4.1.3,8",H,TEL_TES,5900,Twbodygeom,TWBODYGEOM_DESH.xml,http://www.wasserblick.net/servlet/is/20090/?title=TWBODYGEOM_DESHnull=104192,3.35757250067,1140865136.91748,459206.818490952
83,Untereider,Transitional water,17.929,1, ,DESH_RG_95_EID_EIT,9500,DESH,12/19/2019 12:00:00 AM,Y,"1,6,8,9,11,12","3,5,6",N, ,3,3,3,2, ,3,3,,3,DESH,2/22/2021 12:00:00 AM,DESH,17.929,1,DE_TW_DESH_T2.9500.01, ,"NUTR,CHEM,HMOC",12/22/2019 12:00:00 AM,noChange,N,TW-NEA11,"2.2,2.7,4.1.1,4.1.2",H,EID_EIT,9500,Twbodygeom,TWBODYGEOM_DESH.xml,http://www.wasserblick.net/servlet/is/20090/?title=TWBODYGEOM_DESHnull=104192,0.990436396175,52518184.4482422,136367.260237288
